year,guns_sold
2000,7860596.7
2001,8015910.8
2002,7066003.3
2003,7056020.5
2004,7351007.7
2005,7728322.2
2006,8214241.6
2007,8575760.6
2008,9437240.6
2009,10006439.5
2010,9733421.5
2011,11161326.5
2012,14264646.8
2013,15350650
2014,13367825.4
2015,12228615.7
